"No.","Ticker","Market Cap","Dividend Yield","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Earnings Date","Price","Change","Volume"
1,"ACGL",38131.01,,10.22%,29.08%,21.77%,0.58,,0.14,0.14,,25.76%,34.15%,4/29/2024 4:30:00 PM,101.55,-0.68%,1367956
2,"AFL",49537.42,2.25%,4.14%,24.70%,17.00%,1.88,,0.34,0.34,,32.50%,27.67%,5/1/2024 4:30:00 PM,87.18,-0.09%,1509484
3,"AIG",51480.88,2.04%,1.03%,11.14%,7.35%,22.44,,0.50,0.51,,14.48%,9.77%,5/1/2024 4:30:00 PM,77.57,0.27%,3747909
4,"AIZ",8788.91,1.72%,2.89%,16.43%,10.93%,2.30,,0.42,0.42,,9.33%,6.73%,5/7/2024 4:30:00 PM,169.05,0.28%,624173
5,"AJG",53602.42,0.98%,2.06%,10.34%,5.56%,,,0.74,0.76,92.89%,19.03%,10.42%,4/25/2024 4:30:00 PM,245.32,-1.21%,481195
6,"ALL",43124.76,2.28%,1.45%,7.47%,4.69%,0.45,,0.39,0.43,,3.52%,2.08%,5/1/2024 4:30:00 PM,163.50,-0.71%,827852
7,"AMP",42506.97,1.35%,1.81%,69.36%,30.10%,,,1.13,1.17,54.00%,25.82%,18.83%,4/22/2024 4:30:00 PM,427.98,-1.61%,385013
8,"AON",59971.54,0.96%,6.89%,714.29%,15.76%,,,,,92.23%,30.19%,18.91%,4/26/2024 8:30:00 AM,275.82,-1.23%,1128628
9,"AXP",169711.64,1.17%,3.53%,32.61%,11.43%,,,1.70,1.76,61.90%,19.60%,12.77%,4/19/2024 8:30:00 AM,235.94,-0.55%,2708847
10,"BAC",302804.74,2.58%,0.77%,8.72%,4.03%,1.00,,0.98,2.30,,15.03%,12.74%,4/16/2024 8:30:00 AM,38.72,-1.53%,26664099
11,"BEN",11963.29,5.44%,2.78%,6.97%,3.33%,,,1.01,1.02,73.46%,16.41%,10.58%,4/29/2024 8:30:00 AM,22.74,-1.43%,3415470
12,"BK",43194.08,3.03%,0.80%,8.45%,4.38%,1.81,,0.80,1.66,,11.53%,8.83%,4/16/2024 8:30:00 AM,57.76,-0.82%,2873508
13,"BLK",112427.79,2.70%,4.82%,15.28%,14.26%,,,0.04,0.29,78.34%,38.73%,30.91%,4/12/2024 8:30:00 AM,756.58,-1.92%,574858
14,"BRK-B",871581.71,,7.10%,13.65%,10.62%,5.33,4.90,0.21,0.21,20.12%,13.94%,19.90%,5/6/2024 8:30:00 AM,404.09,0.05%,3426775
15,"BRO",24622.78,0.62%,6.49%,17.22%,10.20%,,,0.55,0.71,95.26%,30.28%,20.79%,4/22/2024 4:30:00 PM,86.32,-1.44%,1483972
16,"BX",140406.97,3.54%,5.33%,30.65%,11.62%,,,1.66,1.68,98.93%,48.67%,20.80%,4/18/2024 8:30:00 AM,116.13,-4.19%,4753837
17,"C",118280.35,3.47%,0.32%,3.76%,1.33%,1.49,,1.40,3.00,,7.37%,4.03%,4/12/2024 8:30:00 AM,62.01,-0.70%,7206859
18,"CB",106196.87,1.38%,4.73%,16.35%,12.39%,0.44,,0.24,0.32,,19.12%,17.94%,4/23/2024 4:30:00 PM,261.53,-0.42%,1329303
19,"CFG",15561.68,4.98%,0.65%,5.97%,3.70%,0.14,,0.49,0.58,,15.91%,10.47%,4/17/2024 8:30:00 AM,34.20,-1.33%,3803146
20,"CINF",17951.17,2.83%,7.56%,20.29%,17.58%,0.54,,0.07,0.07,,28.15%,22.16%,4/25/2024 4:30:00 PM,114.66,-0.93%,537020
21,"CMA",6557.90,5.77%,0.81%,11.47%,5.07%,0.23,,1.18,1.18,,17.66%,12.73%,4/18/2024 8:30:00 AM,49.46,-2.00%,1271311
22,"CME",74132.75,4.75%,2.15%,11.74%,10.45%,,,0.11,0.14,81.49%,61.89%,56.13%,4/24/2024 8:30:00 AM,205.89,-1.25%,2118672
23,"COF",51807.45,1.82%,1.07%,9.11%,4.55%,1.87,,0.86,0.87,,12.68%,9.61%,4/25/2024 4:30:00 PM,135.65,-0.71%,1615928
24,"DFS",30493.01,2.31%,1.58%,15.59%,6.52%,2.89,,1.30,1.39,,13.77%,10.20%,4/17/2024 4:30:00 PM,121.68,-0.11%,1159391
25,"EG",16631.71,1.90%,6.57%,25.20%,16.77%,0.48,,0.25,0.25,,17.60%,18.49%,4/29/2024 4:30:00 PM,382.69,-1.49%,228277
